procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 51405400 179484 10927648    0    0     0     5 4170 5940  1  0 99  0  0
 0  0      0 51406304 179484 10927724    0    0     0  1263 4320 6412  1  0 99  0  0
 1  0      0 51405148 179484 10927744    0    0     0   629 4032 6080  1  0 99  0  0
 1  0      0 51402052 179484 10927808    0    0     0     1 3992 5931  1  0 99  0  0
 1  0      0 51404384 179484 10927848    0    0     0     0 4256 6058  1  1 99  0  0
 0  0      0 51405136 179484 10927900    0    0     0     5 4292 5800  1  0 99  0  0
 1  0      0 51404888 179484 10927956    0    0     0   159 4379 6027  0  0 99  0  0
 0  0      0 51405536 179484 10927996    0    0     0   389 4252 5908  0  0 99  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 51405352 179484 10928052    0    0     0     1 4116 5833  1  0 99  0  0
 1  0      0 51405012 179484 10928108    0    0     0     0 4358 5994  0  0 99  0  0
 1  0      0 51405632 179484 10928152    0    0     0     0 4214 5952  0  0 99  0  0
 0  0      0 51404600 179484 10928256    0    0     0   156 4226 6135  1  1 99  0  0
 0  0      0 51404880 179484 10928252    0    0     0   381 4160 6002  1  0 99  0  0
 0  0      0 51404604 179484 10928300    0    0     0     1 4357 6063  1  0 99  0  0
 1  0      0 51404796 179484 10928348    0    0     0     0 4002 5875  0  0 99  0  0
 0  0      0 51405708 179484 10928392    0    0     0     5 4040 5953  0  0 99  0  0
 0  0      0 51405388 179484 10928448    0    0     0   131 4078 5926  1  1 99  0  0
 0  0      0 51405420 179484 10928500    0    0     0     0 4007 5768  0  0 99  0  0
 0  0      0 51405048 179484 10928592    0    0     0     0 4248 5805  0  1 99  0  0
 0  0      0 51404924 179484 10928648    0    0     0     0 4026 5883  1  0 99  0  0
 0  0      0 51404924 179484 10928700    0    0     0     5 4714 6240  1  0 99  0  0
 0  0      0 51404608 179484 10928756    0    0     0   115 5073 6761  1  0 99  0  0
 0  0      0 51404740 179484 10928808    0    0     0   693 4490 6245  1  1 99  0  0
 0  0      0 51404624 179484 10928852    0    0     0     1 3974 5639  0  0 99  0  0
 1  0      0 51405396 179484 10928900    0    0     0     0 4035 5798  0  0 99  0  0
 0  0      0 51405492 179484 10928956    0    0     0     5 4412 6155  0  1 99  0  0
 0  0      0 51404680 179484 10929068    0    0     0   175 4574 6117  1  0 99  0  0
 0  0      0 51402356 179484 10931944    0    0     0     0 4777 6220  1  0 99  0  0
 0  0      0 51402672 179484 10929108    0    0     0  3346 4914 6123  0  0 99  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 51405228 179484 10929164    0    0     0     0 4857 6206  1  0 99  0  0
 0  0      0 51405012 179484 10929320    0    0     0     5 4620 6187  1  0 99  0  0
 0  0      0 51405416 179484 10929376    0    0     0  1326 4222 6290  0  1 99  0  0
 0  0      0 51404940 179484 10929432    0    0     0     1 4104 5999  1  1 99  0  0
 0  0      0 51405360 179484 10929472    0    0     0     0 3889 5661  1  0 99  0  0
 0  0      0 51401356 179484 10929628    0    0     0     0 8937 10416  0  1 99  0  0
 0  0      0 51403964 179484 10929588    0    0     0     5 4851 6262  0  1 99  0  0
 0  0      0 51403788 179484 10929552    0    0     0   110 4134 5797  1  0 99  0  0
 0  0      0 51403788 179484 10929608    0    0     0     1 4476 6196  0  1 99  0  0
 0  0      0 51403788 179484 10929664    0    0     0     0 4997 6430  0  0 99  0  0
 0  0      0 51403788 179484 10929724    0    0     0     0 4459 6034  0  0 99  0  0
 0  0      0 51403788 179484 10929768    0    0     0     5 4202 5995  1  0 99  0  0
 0  0      0 51403508 179484 10929808    0    0     0    82 4507 6539  1  0 99  0  0
 0  0      0 51403920 179484 10929860    0    0     0     1 4496 5977  0  0 99  0  0
 0  0      0 51404292 179484 10929912    0    0     0   966 4743 6541  1  1 99  0  0
 0  0      0 51403164 179484 10929968    0    0     0     0 4044 5971  1  0 99  0  0
 0  0      0 51403164 179484 10930008    0    0     0     5 4150 5929  0  0 99  0  0
 0  0      0 51403100 179484 10930064    0    0     0   174 4109 5880  0  1 99  0  0
 0  0      0 51403356 179484 10930120    0    0     0     1 4736 6627  1  0 99  0  0
 0  0      0 51403232 179484 10930180    0    0     0   406 4263 5979  0  0 99  0  0
 0  0      0 51403360 179484 10930232    0    0     0     0 4205 5832  0  0 99  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 51403392 179484 10930280    0    0     0     0 3945 5681  0  1 99  0  0
 0  0      0 51403200 179484 10930340    0    0     0   131 4183 6174  0  1 99  0  0
 0  0      0 51404580 179484 10930388    0    0     0     1 4521 6180  0  0 99  0  0
 1  0      0 51403720 179484 10930432    0    0     0     0 4274 6205  1  0 99  0  0
 0  0      0 51403720 179484 10930480    0    0     0     0 4263 5870  1  0 99  0  0
 0  0      0 51403472 179484 10930536    0    0     0     5 4282 6013  1  1 99  0  0
 3  0      0 51403472 179484 10930584    0    0     0   102 4154 5905  0  0 99  0  0
 0  0      0 51403480 179484 10930636    0    0     0     1 3805 5755  0  0 100  0  0
 0  0      0 51403472 179484 10930684    0    0     0   676 4040 5893  1  0 99  0  0
 0  0      0 51403456 179484 10930732    0    0     0     0 4188 5858  0  1 99  0  0
 0  0      0 51402736 179484 10930784    0    0     0     5 4431 6010  0  0 99  0  0
 0  0      0 51402784 179484 10930856    0    0     0  1334 4495 6394  1  0 99  0  0
 0  0      0 51402772 179484 10930872    0    0     0     1 3738 5506  0  0 99  0  0
 0  0      0 51401524 179484 10930936    0    0     0   414 4189 6307  1  1 99  0  0
 0  0      0 51400604 179484 10931252    0    0     0     0 4272 5781  0  1 99  0  0
 0  0      0 51401244 179484 10931032    0    0     0     5 4760 6029  1  0 99  0  0
 0  0      0 51401276 179484 10931076    0    0     0   134 4288 5836  1  0 99  0  0
 0  0      0 51402560 179484 10931132    0    0     0     1 4135 5763  1  0 99  0  0
 0  0      0 51401968 179484 10931504    0    0     0   374 4299 5822  1  0 99  0  0
 0  0      0 51402064 179484 10931252    0    0     0     0 4046 5832  1  0 99  0  0
 0  0      0 51401940 179484 10931300    0    0     0     5 5272 12042  2  0 97  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 51401072 179484 10931860    0    0     0   158 4361 6437  1  0 99  0  0
 0  0      0 51401888 179484 10931400    0    0     0     1 4414 5907  0  0 99  0  0
 0  0      0 51401236 179484 10931456    0    0     0   398 4255 6369  1  0 99  0  0
 0  0      0 51401252 179484 10931504    0    0     0     0 3679 5348  0  0 99  0  0
 0  0      0 51401760 179484 10931556    0    0     0     5 3909 5998  0  0 99  0  0
 0  0      0 51400700 179484 10931608    0    0     0   122 4383 6110  0  0 99  0  0
 0  0      0 51401008 179484 10931648    0    0     0     1 3806 5645  0  0 99  0  0
 0  0      0 51400876 179484 10931700    0    0     0   366 4466 5995  0  0 99  0  0
 0  0      0 51400908 179484 10931756    0    0     0     0 4117 5733  0  0 100  0  0
 0  0      0 51400844 179484 10931804    0    0     0     5 4361 6096  1  0 99  0  0
 0  0      0 51400528 179484 10931860    0    0     0   170 4995 6580  1  1 99  0  0
 0  0      0 51400724 179484 10931912    0    0     0     1 4158 5739  0  0 99  0  0
 0  0      0 51401440 179484 10931968    0    0     0     0 4276 6211  0  1 99  0  0
 0  0      0 51401120 179484 10932016    0    0     0  1045 6539 9866  1  1 99  0  0
 0  0      0 51401272 179484 10932064    0    0     0  1936 6789 11586  0  0 99  0  0
 1  0      0 51400476 179484 10932172    0    0     0   890 5106 8119  1  1 99  0  0
 0  0      0 51398060 179484 10935064    0    0     0     5 4695 6143  1  0 99  0  0
 0  0      0 51397752 179484 10932276    0    0     0     0 4333 5887  1  0 99  0  0
 0  0      0 51400652 179484 10932264    0    0     0     0 4973 6186  1  0 99  0  0
 1  0      0 51401568 179484 10932320    0    0     0  1161 5880 9150  1  0 99  0  0
 0  0      0 51401528 179484 10932376    0    0     0  3076 7272 11963  1  1 99  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 51401520 179484 10932420    0    0     0   801 5170 7872  0  0 99  0  0
 1  0      0 51401008 179484 10932476    0    0     0     0 4325 6260  1  0 99  0  0
 0  0      0 51400852 179484 10932520    0    0     0     0 3805 5549  0  0 99  0  0
 0  0      0 51400772 179484 10932860    0    0     0     5 4390 6001  0  0 99  0  0
 0  0      0 51401140 179484 10932616    0    0     0     1 4167 5772  1  0 99  0  0
 1  0      0 51401172 179484 10932660    0    0     0   114 3744 5681  0  0 99  0  0
 0  0      0 51401824 179484 10932704    0    0     0     0 4246 5971  0  0 99  0  0
 0  0      0 51401328 179484 10932756    0    0     0     0 4002 5857  0  0 99  0  0
 0  0      0 51401200 179484 10932800    0    0     0     5 4196 5914  0  0 99  0  0
 0  0      0 51400856 179484 10932840    0    0     0     1 4000 5862  1  0 99  0  0
 0  0      0 51400732 179484 10932896    0    0     0    86 4098 5779  0  1 99  0  0
 0  0      0 51401196 179484 10932940    0    0     0  1726 4604 6468  1  0 99  0  0
 0  0      0 51400572 179484 10932988    0    0     0     0 4034 5925  1  0 99  0  0
 0  0      0 51401776 179484 10933028    0    0     0     5 4347 6322  1  1 99  0  0
 0  0      0 51401512 179484 10933084    0    0     0     1 3991 5665  0  0 99  0  0
 0  0      0 51400644 179484 10933128    0    0     0   162 4520 6720  0  0 100  0  0
 0  0      0 51400716 179484 10933172    0    0     0     0 4416 5917  1  0 99  0  0
 0  0      0 51400592 179484 10933236    0    0     0     0 4094 5705  0  0 99  0  0
 0  0      0 51400592 179484 10933280    0    0     0     5 4067 5938  0  0 99  0  0
 0  0      0 51400396 179484 10933320    0    0     0     1 4131 6098  1  0 99  0  0
 0  0      0 51400396 179484 10933368    0    0     0    86 4254 5903  0  0 99  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
